Ticker,Return,Market Cap,Sector,Data
VALE3,0,50,Materiais Básicos,23/01/2020
ITUB4,0,50,Instituições Financeiras,23/01/2020
B3SA3,0,50,Instituições Financeiras,23/01/2020
PETR4,0,50,Petróleo & Gás,23/01/2020
BBDC4,0,50,Instituições Financeiras,23/01/2020
PETR3,0,50,Petróleo & Gás,23/01/2020
ABEV3,0,50,Bens de Consumo,23/01/2020
BBAS3,0,50,Instituições Financeiras,23/01/2020
ITSA4,0,50,Instituições Financeiras,23/01/2020
MGLU3,0,50,Varejo,23/01/2020
JBSS3,0,50,Bens de Consumo,23/01/2020
WEGE3,0,50,Industrial,23/01/2020
LREN3,0,25,Varejo,23/01/2020
NTCO3,0,50,Bens de Consumo,23/01/2020
GNDI3,0,25,Saúde & Educação,23/01/2020
SUZB3,0,50,Materiais Básicos,23/01/2020
BBDC3,0,50,Instituições Financeiras,23/01/2020
RAIL3,0,25,Infraestrutura & Transporte,23/01/2020
RENT3,0,25,Infraestrutura & Transporte,23/01/2020
RADL3,0,25,Varejo,23/01/2020
LAME4,0,25,Varejo,23/01/2020
EQTL3,0,10,Utilidades Públicas,23/01/2020
BTOW3,0,25,Varejo,23/01/2020
VIVT4,0,50,TMT,23/01/2020
UGPA3,0,25,Petróleo & Gás,23/01/2020
SBSP3,0,25,Utilidades Públicas,23/01/2020
BRFS3,0,25,Bens de Consumo,23/01/2020
BBSE3,0,50,Instituições Financeiras,23/01/2020
VVAR3,0,10,Varejo,23/01/2020
BRDT3,0,25,Petróleo & Gás,23/01/2020
CCRO3,0,25,Infraestrutura & Transporte,23/01/2020
GGBR4,0,25,Materiais Básicos,23/01/2020
HYPE3,0,10,Bens de Consumo,23/01/2020
HAPV3,0,25,Saúde & Educação,23/01/2020
ENEV3,0,10,Utilidades Públicas,23/01/2020
BPAC11,0,50,Instituições Financeiras,23/01/2020
KLBN11,0,10,Materiais Básicos,23/01/2020
ENGI11,0,10,Utilidades Públicas,23/01/2020
TIMP3,0,25,TMT,23/01/2020
COGN3,0,10,Saúde & Educação,23/01/2020
SULA11,0,25,Instituições Financeiras,23/01/2020
ELET3,0,50,Utilidades Públicas,23/01/2020
EGIE3,0,25,Utilidades Públicas,23/01/2020
CMIG4,0,10,Utilidades Públicas,23/01/2020
SANB11,0,50,Instituições Financeiras,23/01/2020
CSAN3,0,25,Materiais Básicos,23/01/2020
PCAR3,0,10,Varejo,23/01/2020
YDUQ3,0,10,Saúde & Educação,23/01/2020
IRBR3,0,25,Instituições Financeiras,23/01/2020
BRML3,0,10,Imobiliário,23/01/2020
TOTS3,0,10,TMT,23/01/2020
CPLE6,0,10,Utilidades Públicas,23/01/2020
BRAP4,0,10,Materiais Básicos,23/01/2020
TRPL4,0,10,Utilidades Públicas,23/01/2020
FLRY3,0,10,Saúde & Educação,23/01/2020
ELET6,0,50,Utilidades Públicas,23/01/2020
QUAL3,0,10,Saúde & Educação,23/01/2020
CRFB3,0,25,Varejo,23/01/2020
AZUL4,0,10,Infraestrutura & Transporte,23/01/2020
CSNA3,0,10,Materiais Básicos,23/01/2020
BRKM5,0,25,Petróleo & Gás,23/01/2020
EMBR3,0,10,Industrial,23/01/2020
SAPR11,0,10,Utilidades Públicas,23/01/2020
CYRE3,0,10,Imobiliário,23/01/2020
TCSA3,0,1,Imobiliário,23/01/2020
TAEE11,0,10,Utilidades Públicas,23/01/2020
MULT3,0,10,Imobiliário,23/01/2020
CIEL3,0,10,Instituições Financeiras,23/01/2020
MRFG3,0,5,Bens de Consumo,23/01/2020
ALPA4,0,10,Bens de Consumo,23/01/2020
CPFE3,0,25,Utilidades Públicas,23/01/2020
ENBR3,0,10,Utilidades Públicas,23/01/2020
LCAM3,0,10,Infraestrutura & Transporte,23/01/2020
CESP6,0,10,Utilidades Públicas,23/01/2020
MRVE3,0,5,Imobiliário,23/01/2020
LIGT3,0,5,Utilidades Públicas,23/01/2020
PSSA3,0,10,Instituições Financeiras,23/01/2020
NEOE3,0,25,Utilidades Públicas,23/01/2020
GOAU4,0,10,Materiais Básicos,23/01/2020
BIDI11,0,10,Instituições Financeiras,23/01/2020
PRIO3,0,5,Petróleo & Gás,23/01/2020
CSMG3,0,5,Utilidades Públicas,23/01/2020
ALSO3,0,10,Imobiliário,23/01/2020
EZTC3,0,10,Imobiliário,23/01/2020
DTEX3,0,10,Industrial,23/01/2020
BEEF3,0,5,Bens de Consumo,23/01/2020
USIM5,0,10,Materiais Básicos,23/01/2020
MDIA3,0,10,Bens de Consumo,23/01/2020
LINX3,0,5,TMT,23/01/2020
IGTA3,0,10,Imobiliário,23/01/2020
BRSR6,0,5,Instituições Financeiras,23/01/2020
CVCB3,0,5,Varejo,23/01/2020
BPAN4,0,10,Instituições Financeiras,23/01/2020
GOLL4,0,10,Infraestrutura & Transporte,23/01/2020
ECOR3,0,10,Infraestrutura & Transporte,23/01/2020
MYPK3,0,1,Industrial,23/01/2020
HGTX3,0,1,Varejo,23/01/2020
MOVI3,0,5,Infraestrutura & Transporte,23/01/2020
RAPT4,0,1,Industrial,23/01/2020
SMLS3,0,5,Bens de Consumo,23/01/2020
VALE3,-0.030630631,50,Materiais Básicos,24/01/2020
ITUB4,-0.00752353,50,Instituições Financeiras,24/01/2020
B3SA3,0.005964464,50,Instituições Financeiras,24/01/2020
PETR4,-0.010135135,50,Petróleo & Gás,24/01/2020
BBDC4,-0.007489678,50,Instituições Financeiras,24/01/2020
PETR3,-0.003842459,50,Petróleo & Gás,24/01/2020
ABEV3,0.018230563,50,Bens de Consumo,24/01/2020
BBAS3,-0.01319807,50,Instituições Financeiras,24/01/2020
ITSA4,-0.014718283,50,Instituições Financeiras,24/01/2020
MGLU3,-0.007599859,50,Varejo,24/01/2020
JBSS3,-0.017429493,50,Bens de Consumo,24/01/2020
WEGE3,0.044893407,50,Industrial,24/01/2020
LREN3,-0.011498614,25,Varejo,24/01/2020
NTCO3,-0.004050551,50,Bens de Consumo,24/01/2020
GNDI3,-0.027527624,25,Saúde & Educação,24/01/2020
SUZB3,-0.013048369,50,Materiais Básicos,24/01/2020
BBDC3,-0.00546265,50,Instituições Financeiras,24/01/2020
RAIL3,-0.018555869,25,Infraestrutura & Transporte,24/01/2020
RENT3,-0.006387605,25,Infraestrutura & Transporte,24/01/2020
RADL3,0.004127061,25,Varejo,24/01/2020
LAME4,-0.003785272,25,Varejo,24/01/2020
EQTL3,0.000819336,10,Utilidades Públicas,24/01/2020
BTOW3,-0.01459854,25,Varejo,24/01/2020
VIVT4,-0.010563745,50,TMT,24/01/2020
UGPA3,-0.010050617,25,Petróleo & Gás,24/01/2020
SBSP3,-0.002542051,25,Utilidades Públicas,24/01/2020
BRFS3,-0.028989667,25,Bens de Consumo,24/01/2020
BBSE3,-0.00936591,50,Instituições Financeiras,24/01/2020
VVAR3,-0.01055409,10,Varejo,24/01/2020
BRDT3,0.004071938,25,Petróleo & Gás,24/01/2020
CCRO3,-0.012949934,25,Infraestrutura & Transporte,24/01/2020
GGBR4,-0.022105691,25,Materiais Básicos,24/01/2020
HYPE3,-0.012657501,10,Bens de Consumo,24/01/2020
HAPV3,0.003111388,25,Saúde & Educação,24/01/2020
ENEV3,-0.015721266,10,Utilidades Públicas,24/01/2020
BPAC11,0,50,Instituições Financeiras,24/01/2020
KLBN11,-0.000919287,10,Materiais Básicos,24/01/2020
ENGI11,0.01039411,10,Utilidades Públicas,24/01/2020
TIMP3,-0.022659511,25,TMT,24/01/2020
COGN3,-0.001710864,10,Saúde & Educação,24/01/2020
SULA11,-0.005498313,25,Instituições Financeiras,24/01/2020
ELET3,-0.018308841,50,Utilidades Públicas,24/01/2020
EGIE3,0.005037313,25,Utilidades Públicas,24/01/2020
CMIG4,0.010471204,10,Utilidades Públicas,24/01/2020
SANB11,-0.018351527,50,Instituições Financeiras,24/01/2020
CSAN3,-0.001733585,25,Materiais Básicos,24/01/2020
PCAR3,-0.012139436,10,Varejo,24/01/2020
YDUQ3,0.000764286,10,Saúde & Educação,24/01/2020
IRBR3,-0.024156791,25,Instituições Financeiras,24/01/2020
BRML3,-0.006362672,10,Imobiliário,24/01/2020
TOTS3,-0.018834585,10,TMT,24/01/2020
CPLE6,0.0006672,10,Utilidades Públicas,24/01/2020
BRAP4,-0.019683149,10,Materiais Básicos,24/01/2020
TRPL4,-0.005140716,10,Utilidades Públicas,24/01/2020
