Data;IBrX
23/01/2020;0.0%
24/01/2020;-0.9%
27/01/2020;-4.1%
28/01/2020;-2.5%
29/01/2020;-3.4%
30/01/2020;-3.3%
31/01/2020;-4.8%
03/02/2020;-4.0%
04/02/2020;-3.2%
05/02/2020;-2.8%
06/02/2020;-3.6%
07/02/2020;-4.8%
10/02/2020;-5.9%
11/02/2020;-3.5%
12/02/2020;-2.4%
13/02/2020;-3.2%
14/02/2020;-4.2%
17/02/2020;-3.5%
18/02/2020;-3.7%
19/02/2020;-2.4%
20/02/2020;-4.0%
21/02/2020;-4.7%
26/02/2020;-11.3%
27/02/2020;-13.6%
28/02/2020;-12.6%
02/03/2020;-10.5%
03/03/2020;-11.4%
04/03/2020;-9.9%
05/03/2020;-14.1%
06/03/2020;-17.7%
09/03/2020;-27.7%
10/03/2020;-22.6%
11/03/2020;-28.4%
12/03/2020;-39.1%
13/03/2020;-30.7%
16/03/2020;-40.2%
17/03/2020;-37.4%
18/03/2020;-44.0%
19/03/2020;-42.7%
20/03/2020;-43.7%
23/03/2020;-46.7%
24/03/2020;-41.8%
25/03/2020;-37.5%
26/03/2020;-35.0%
27/03/2020;-38.5%
30/03/2020;-37.6%
31/03/2020;-38.9%
01/04/2020;-40.7%
02/04/2020;-39.6%
03/04/2020;-41.9%
06/04/2020;-38.1%
07/04/2020;-36.2%
08/04/2020;-34.3%
09/04/2020;-35.0%
13/04/2020;-34.1%
14/04/2020;-33.1%
15/04/2020;-34.0%
16/04/2020;-34.8%
17/04/2020;-33.9%
20/04/2020;-33.8%
22/04/2020;-32.4%
23/04/2020;-33.2%
24/04/2020;-36.9%
27/04/2020;-34.5%
28/04/2020;-31.9%
29/04/2020;-30.4%
30/04/2020;-32.6%
04/05/2020;-34.0%
05/05/2020;-33.5%
06/05/2020;-33.9%
07/05/2020;-34.8%
08/05/2020;-33.1%
11/05/2020;-34.0%
12/05/2020;-35.1%
13/05/2020;-35.2%
14/05/2020;-34.1%
15/05/2020;-35.3%
18/05/2020;-32.2%
19/05/2020;-32.6%
20/05/2020;-32.1%
21/05/2020;-30.6%
22/05/2020;-31.3%
25/05/2020;-28.4%
26/05/2020;-28.5%
27/05/2020;-26.4%
28/05/2020;-27.3%
29/05/2020;-26.9%
01/06/2020;-25.9%
02/06/2020;-23.9%
03/06/2020;-22.2%
04/06/2020;-21.5%
05/06/2020;-20.9%
08/06/2020;-18.3%
09/06/2020;-19.1%
10/06/2020;-20.8%
12/06/2020;-22.4%
15/06/2020;-22.7%
16/06/2020;-21.8%
17/06/2020;-20.1%
18/06/2020;-19.6%
19/06/2020;-19.2%
22/06/2020;-20.1%
23/06/2020;-19.6%
24/06/2020;-21.0%
25/06/2020;-19.6%
29/06/2020;-19.8%
30/06/2020;-20.4%
